Date,Liturgical Color,Observance,MP Opening Sentence of Scripture,Antiphon,MP First Lesson,MP Second Lesson,"Psalms (MP, 60-day)",EP Opening Sentence of Scripture,EP First Lesson,EP Second Lesson,"Psalms (EP, 60-day)",Seasonal Collect,Special Collect,Seasonal Blessing,Remembrance
Jan 1,White,Circumsicion & Name,"Fear not, for behold, I bring you good news of great joy that will be for all the people. For unto you is born this day in the city of David a Savior, who is Christ the Lord. luke 2:10-11","Alleluia. Unto us a child is born: * O come, let us adore him. Alleluia.",Gen 1,John 1:1-28,"1, 2","Behold, the dwelling place of God is with man. He will dwell with them, and they will be his people, and God himself will be with them as their God. revelation 21:3",Gal 1,Luke 2:8-21,"3, 4",,,"Christ the Sun of Righteousness shine upon you, scatter the darkness from before your path, and make you ready to meet him when he comes in glory; and the blessing of God Almighty, the Father, the Son, and the Holy Spirit, be among you, and remain with you always. Amen.",
Jan 2,White,Christmastide,"Fear not, for behold, I bring you good news of great joy that will be for all the people. For unto you is born this day in the city of David a Savior, who is Christ the Lord. luke 2:10-11","Alleluia. Unto us a child is born: * O come, let us adore him. Alleluia.",Gen 2,John 1:29-end,"5, 6","Behold, the dwelling place of God is with man. He will dwell with them, and they will be his people, and God himself will be with them as their God. revelation 21:3",Jer 1,Gal 2,7,,,,
Jan 3,White,Christmastide,"Fear not, for behold, I bring you good news of great joy that will be for all the people. For unto you is born this day in the city of David a Savior, who is Christ the Lord. luke 2:10-11","Alleluia. Unto us a child is born: * O come, let us adore him. Alleluia.",Gen 3,John 2,9,"Behold, the dwelling place of God is with man. He will dwell with them, and they will be his people, and God himself will be with them as their God. revelation 21:3",Jer 2 † 1-22,Gal 3,10,,,,
Jan 4,White,Christmastide,"Fear not, for behold, I bring you good news of great joy that will be for all the people. For unto you is born this day in the city of David a Savior, who is Christ the Lord. luke 2:10-11","Alleluia. Unto us a child is born: * O come, let us adore him. Alleluia.",Gen 4,John 3:1-21,"8, 11","Behold, the dwelling place of God is with man. He will dwell with them, and they will be his people, and God himself will be with them as their God. revelation 21:3",Jer 3,Gal 4,"15, 16",,,,
Jan 5,White,Christmastide,"Fear not, for behold, I bring you good news of great joy that will be for all the people. For unto you is born this day in the city of David a Savior, who is Christ the Lord. luke 2:10-11","Alleluia. Unto us a child is born: * O come, let us adore him. Alleluia.",Gen 5,John 3:22-end,"12, 13, 14","Behold, the dwelling place of God is with man. He will dwell with them, and they will be his people, and God himself will be with them as their God. revelation 21:3",Jer 4,Gal 5,17,,,,
Jan 6,White,Epiphany,"From the rising of the sun to its setting my name will be great among the nations, and in every place incense will be offered to my name, and a pure offering. For my name will be great among the nations, says the Lord of hosts. malachi 1:11","The Lord has shown forth his glory: * O come, let us adore him.",Gen 6,Matt 2:1-12,"96, 97","Nations shall come to your light, and kings to the brightness of your rising. isaiah 60:3",Jer 5,John 2:1-12,"67, 72","O God, by the leading of a star you manifested your only Son to the peoples of the earth: Lead us, who know you now by faith, to your presence, where we may see your glory face to face; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever. Amen.",,"Christ our Lord, to whom kings bowed down in worship and offered gifts, reveal to you his glory and pour upon you the riches of his grace; and the blessing of God Almighty, the Father, the Son, and the Holy Spirit, be among you, and remain with you always. Amen.",
Jan 7,Green,Epiphany,"From the rising of the sun to its setting my name will be great among the nations, and in every place incense will be offered to my name, and a pure offering. For my name will be great among the nations, says the Lord of hosts. malachi 1:11","The Lord has shown forth his glory: * O come, let us adore him.",Gen 7,John 4:1-26,18:1-20v,"Nations shall come to your light, and kings to the brightness of your rising. isaiah 60:3",Jer 6,Gal 6,18:21-52v,"O God, by the leading of a star you manifested your only Son to the peoples of the earth: Lead us, who know you now by faith, to your presence, where we may see your glory face to face; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever. Amen.",,"Christ our Lord, to whom kings bowed down in worship and offered gifts, reveal to you his glory and pour upon you the riches of his grace; and the blessing of God Almighty, the Father, the Son, and the Holy Spirit, be among you, and remain with you always. Amen.",
Jan 8,Green,Epiphany,"From the rising of the sun to its setting my name will be great among the nations, and in every place incense will be offered to my name, and a pure offering. For my name will be great among the nations, says the Lord of hosts. malachi 1:11","The Lord has shown forth his glory: * O come, let us adore him.",Gen 8,John 4:27-end,19,"Nations shall come to your light, and kings to the brightness of your rising. isaiah 60:3","Jer 7 † 1-28,34",1 Thess 1,"20, 21","O God, by the leading of a star you manifested your only Son to the peoples of the earth: Lead us, who know you now by faith, to your presence, where we may see your glory face to face; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever. Amen.",,"Christ our Lord, to whom kings bowed down in worship and offered gifts, reveal to you his glory and pour upon you the riches of his grace; and the blessing of God Almighty, the Father, the Son, and the Holy Spirit, be among you, and remain with you always. Amen.",
Jan 9,Green,Epiphany,"From the rising of the sun to its setting my name will be great among the nations, and in every place incense will be offered to my name, and a pure offering. For my name will be great among the nations, says the Lord of hosts. malachi 1:11","The Lord has shown forth his glory: * O come, let us adore him.",Gen 9,John 5:1-24,22,"Nations shall come to your light, and kings to the brightness of your rising. isaiah 60:3",Jer 8,1 Thess 2:1-16,"23, 24","O God, by the leading of a star you manifested your only Son to the peoples of the earth: Lead us, who know you now by faith, to your presence, where we may see your glory face to face; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever. Amen.",,"Christ our Lord, to whom kings bowed down in worship and offered gifts, reveal to you his glory and pour upon you the riches of his grace; and the blessing of God Almighty, the Father, the Son, and the Holy Spirit, be among you, and remain with you always. Amen.",
Jan 10,Green,Epiphany,"From the rising of the sun to its setting my name will be great among the nations, and in every place incense will be offered to my name, and a pure offering. For my name will be great among the nations, says the Lord of hosts. malachi 1:11","The Lord has shown forth his glory: * O come, let us adore him.","Gen 10 † 1-9,15-22,30-32",John 5:25-end,25,"Nations shall come to your light, and kings to the brightness of your rising. isaiah 60:3",Jer 9,1 Thess 2:17—3 end,27,"O God, by the leading of a star you manifested your only Son to the peoples of the earth: Lead us, who know you now by faith, to your presence, where we may see your glory face to face; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever. Amen.",,"Christ our Lord, to whom kings bowed down in worship and offered gifts, reveal to you his glory and pour upon you the riches of his grace; and the blessing of God Almighty, the Father, the Son, and the Holy Spirit, be among you, and remain with you always. Amen.",
Jan 11,Green,Epiphany,"From the rising of the sun to its setting my name will be great among the nations, and in every place incense will be offered to my name, and a pure offering. For my name will be great among the nations, says the Lord of hosts. malachi 1:11","The Lord has shown forth his glory: * O come, let us adore him.","Gen 11 † 1-9,27-32",John 6:1-21,"26, 28","Nations shall come to your light, and kings to the brightness of your rising. isaiah 60:3",Jer 10,1 Thess 4:1-12,31,"Eternal Father, at the baptism of Jesus you revealed him to be your Son, and your Holy Spirit descended upon him like a dove: Grant that we, who are born again by water and the Spirit, may be faithful as your adopted children; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever. Amen.",,"Christ our Lord, to whom kings bowed down in worship and offered gifts, reveal to you his glory and pour upon you the riches of his grace; and the blessing of God Almighty, the Father, the Son, and the Holy Spirit, be among you, and remain with you always. Amen.",
Jan 12,Green,Epiphany,"From the rising of the sun to its setting my name will be great among the nations, and in every place incense will be offered to my name, and a pure offering. For my name will be great among the nations, says the Lord of hosts. malachi 1:11","The Lord has shown forth his glory: * O come, let us adore him.",Gen 12,John 6:22-40,"29, 30","Nations shall come to your light, and kings to the brightness of your rising. isaiah 60:3",Jer 11,1 Thess 4:13—5:11,33,"Eternal Father, at the baptism of Jesus you revealed him to be your Son, and your Holy Spirit descended upon him like a dove: Grant that we, who are born again by water and the Spirit, may be faithful as your adopted children; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever. Amen.",,"Christ our Lord, to whom kings bowed down in worship and offered gifts, reveal to you his glory and pour upon you the riches of his grace; and the blessing of God Almighty, the Father, the Son, and the Holy Spirit, be among you, and remain with you always. Amen.",
Jan 13,Green,Epiphany,"From the rising of the sun to its setting my name will be great among the nations, and in every place incense will be offered to my name, and a pure offering. For my name will be great among the nations, says the Lord of hosts. malachi 1:11","The Lord has shown forth his glory: * O come, let us adore him.",Gen 13,John 6:41-end,34,"Nations shall come to your light, and kings to the brightness of your rising. isaiah 60:3",Jer 12,1 Thess 5:12-end,35,"Eternal Father, at the baptism of Jesus you revealed him to be your Son, and your Holy Spirit descended upon him like a dove: Grant that we, who are born again by water and the Spirit, may be faithful as your adopted children; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever. Amen.",,"Christ our Lord, to whom kings bowed down in worship and offered gifts, reveal to you his glory and pour upon you the riches of his grace; and the blessing of God Almighty, the Father, the Son, and the Holy Spirit, be among you, and remain with you always. Amen.",
Jan 14,Green,Epiphany,"From the rising of the sun to its setting my name will be great among the nations, and in every place incense will be offered to my name, and a pure offering. For my name will be great among the nations, says the Lord of hosts. malachi 1:11","The Lord has shown forth his glory: * O come, let us adore him.",Gen 14,John 7:1-24,"32, 36","Nations shall come to your light, and kings to the brightness of your rising. isaiah 60:3",Jer 13,2 Thess 1,38,"Eternal Father, at the baptism of Jesus you revealed him to be your Son, and your Holy Spirit descended upon him like a dove: Grant that we, who are born again by water and the Spirit, may be faithful as your adopted children; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever. Amen.",,"Christ our Lord, to whom kings bowed down in worship and offered gifts, reveal to you his glory and pour upon you the riches of his grace; and the blessing of God Almighty, the Father, the Son, and the Holy Spirit, be among you, and remain with you always. Amen.",
Jan 15,Green,Epiphany,"From the rising of the sun to its setting my name will be great among the nations, and in every place incense will be offered to my name, and a pure offering. For my name will be great among the nations, says the Lord of hosts. malachi 1:11","The Lord has shown forth his glory: * O come, let us adore him.",Gen 15,John 7:25-52,37:1-17v,"Nations shall come to your light, and kings to the brightness of your rising. isaiah 60:3",Jer 14,2 Thess 2,37:18-41v,"Eternal Father, at the baptism of Jesus you revealed him to be your Son, and your Holy Spirit descended upon him like a dove: Grant that we, who are born again by water and the Spirit, may be faithful as your adopted children; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever. Amen.",,"Christ our Lord, to whom kings bowed down in worship and offered gifts, reveal to you his glory and pour upon you the riches of his grace; and the blessing of God Almighty, the Father, the Son, and the Holy Spirit, be among you, and remain with you always. Amen.",
